Monarch	<http://nl.dbpedia.org/property/sterfdatum>                 	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/deathDate>                     
Single	<http://nl.dbpedia.org/property/opname>                     	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/recordDate>                    
Settlement	<http://nl.dbpedia.org/property/meetjaar>                   	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/populationAsOf>                
Train	<http://nl.dbpedia.org/property/indienst>                   	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/introductionDate>              
Person	<http://nl.dbpedia.org/property/overlijddatum>              	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/deathDate>                     
AmusementParkAttraction	<http://nl.dbpedia.org/property/opening>                    	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/openingDate>                   
SubMunicipality	<http://nl.dbpedia.org/property/datum>                      	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/populationAsOf>                
Biologist	<http://nl.dbpedia.org/property/overleden>                  	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/deathDate>                     
MilitaryUnit	<http://nl.dbpedia.org/property/einddatum>                  	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/dissolutionDate>               
Newspaper	<http://nl.dbpedia.org/property/eersteEditie>               	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/foundingDate>                  
Cardinal	<http://nl.dbpedia.org/property/datum>                      	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/date>                          
Saint	<http://nl.dbpedia.org/property/heiligverklaringDatum>      	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/canonizedDate>                 
ChristianBishop	<http://nl.dbpedia.org/property/bisschopswijding>           	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/titleDate>                     
District	<http://nl.dbpedia.org/property/datum>                      	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/date>                          
MemberResistanceMovement	<http://nl.dbpedia.org/property/geboren>                    	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/birthDate>                     
MetroStation	<http://nl.dbpedia.org/property/heropening>                 	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/reopeningDate>                 
Ship	<http://nl.dbpedia.org/property/schipVeroverd>              	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/captureDate>                   
Settlement	<http://nl.dbpedia.org/property/stand>                      	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/populationAsOf>                
LegalCase	<http://nl.dbpedia.org/property/datum>                      	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/date>                          
FictionalCharacter	<http://nl.dbpedia.org/property/dood>                       	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/deathDate>                     
Ship	<http://nl.dbpedia.org/property/schipTewaterlating>         	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/shipLaunch>                    
ty/Q36180	<http://nl.dbpedia.org/property/overleden>                  	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/deathDate>                     
MilitaryAircraft	<http://nl.dbpedia.org/property/eerstevlucht>               	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/introductionDate>              
Software	<http://nl.dbpedia.org/property/laatsteUitgaveDatum>        	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/latestReleaseDate>             
StormSurge	<http://nl.dbpedia.org/property/datum>                      	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/date>                          
Cyclist	<http://nl.dbpedia.org/property/sterfdatum>                 	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/deathDate>                     
WinterSportPlayer	<http://nl.dbpedia.org/property/overlijdensdatum>           	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/deathDate>                     
Monument	<http://nl.dbpedia.org/property/ingehuldigd>                	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/dateUnveiled>                  
Politician	<http://nl.dbpedia.org/property/startPeriode>               	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/activeYearsStartDate>          
Book	<http://nl.dbpedia.org/property/uitgiftedatum>              	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/publicationDate>               
Scientist	<http://nl.dbpedia.org/property/geboortedatum>              	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/birthDate>                     
Journalist	<http://nl.dbpedia.org/property/geboren>                    	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/birthDate>                     
Song	<http://nl.dbpedia.org/property/releasedatum>               	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/releaseDate>                   
Cyclist	<http://nl.dbpedia.org/property/geboortedatum>              	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/birthDate>                     
ChristianBishop	<http://nl.dbpedia.org/property/geboortedatum>              	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/birthDate>                     
MilitaryConflict	<http://nl.dbpedia.org/property/datum>                      	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/date>                          
PowerStation	<http://nl.dbpedia.org/property/stillegging>                	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/commissioningDate>             
Journalist	<http://nl.dbpedia.org/property/overleden>                  	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/deathDate>                     
MusicFestival	<http://nl.dbpedia.org/property/datum>                      	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/date>                          
MilitaryConflict	<http://nl.dbpedia.org/property/date>                       	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/startDate>                     
MetroStation	<http://nl.dbpedia.org/property/start>                      	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/openingDate>                   
GolfPlayer	<http://nl.dbpedia.org/property/geboortedatum>              	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/birthDate>                     
President	<http://nl.dbpedia.org/property/overleden>                  	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/deathDate>                     
Hotel	<http://nl.dbpedia.org/property/openingsdatum>              	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/openingDate>                   
Presenter	<http://nl.dbpedia.org/property/geboortedatum>              	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/birthDate>                     
